Date,GameID,Outcome,PointsDiff
2017-11-30,1,W,19
2017-11-30,2,W,31
2017-11-30,3,W,17
2017-12-01,4,W,5
2017-12-01,5,L,-18
2017-12-01,6,L,-5
2018-01-26,7,W,12
2018-01-26,8,W,12
2018-01-26,9,W,14
2018-01-27,10,W,16
2018-01-27,11,L,-26
2018-01-28,12,W,28
2018-04-13,13,W,29
2018-04-13,14,W,12
2018-04-14,15,L,-17
2018-04-15,16,L,-26
2018-04-15,17,L,-5
2018-04-21,18,W,24
2018-04-21,19,L,-2
2018-04-21,20,L,-14
2018-04-22,21,L,-5
2018-04-22,22,W,19
2018-05-12,23,L,-15
2018-05-12,24,W,14
2018-05-12,25,W,2
2018-05-13,26,L,-2
2018-05-13,27,W,23
2018-05-13,28,W,17
2018-06-08,29,W,26
2018-06-08,30,W,9
2018-06-08,31,L,-17
2018-06-09,32,W,2
2018-06-09,33,L,-27
2018-06-10,34,W,7
2018-07-20,35,W,24
2018-07-20,36,L,-5
2018-07-21,37,L,-12
2018-07-21,38,W,12
